0,1,2
1700000,2010,2010-05-12
650000,2010,2010-05-12
1200000,2010,2010-05-12
500000,2010,2010-05-12
600000000,2010,2010-05-06
22000000,2010,2010-04-14
305000000,2010,2010-03-11
72000000,2010,2010-03-11
24000000,2010,2010-03-10
2300000,2010,2010-02-03
6600000,2010,2010-02-03
3000000,2010,2010-01-20
3400000,2010,2010-01-20
15000000,2009,2009-12-20
7000000,2009,2009-12-20
2400000,2009,2009-11-07
27000000,2009,2009-09-16
1200000000,2009,2009-09-16
700000,2009,2009-07-22
4000000,2009,2009-07-12
62000000,2009,2009-06-24
88000000,2009,2009-06-24
1100000,2009,2009-04-22
8500000,2009,2009-02-26
850000,2009,2009-01-17
10000000,2008,2008-11-20
90000000,2008,2008-07-16
210000000,2008,2008-06-30
90000000,2008,2008-06-30
32000000,2008,2008-06-11
1700000,2008,2008-05-29
2300000,2008,2008-05-29
20000000,2008,2008-05-23
25000000,2008,2008-05-21
150000000,2008,2008-03-26
500000000,2008,2008-03-26
23000000,2008,2008-03-26
500000000,2008,2008-03-25
30000000,2008,2008-03-25
20000000,2008,2008-03-25
1500000,2008,2008-01-03
2400000,2007,2007-10-26
8000000,2007,2007-10-05
130000000,2007,2007-09-19
1150000000,2007,2007-09-18
38000000,2007,2007-09-16
220000000,2007,2007-09-15
23000000,2007,2007-09-04
50000000,2007,2007-08-28
180000000,2007,2007-07-12
185000000,2007,2007-07-11
610000000,2007,2007-05-22
800000000,2007,2007-05-22
98000000,2007,2007-05-22
20000000,2007,2007-05-15
1200000000,2007,2007-05-15
75000000,2007,2007-04-11
14000000,2007,2007-04-11
7200000,2007,2007-04-11
4100000,2007,2007-04-11
170000000,2007,2007-03-09
7000000,2007,2007-03-09
3400000,2007,2007-03-09
25000000,2007,2007-03-09
380000000,2007,2007-03-07
80000000,2006,2006-12-13
125000000,2006,2006-12-13
630000000,2006,2006-12-13
260000000,2006,2006-12-12
